"","player","i","X1","rk","pos","age","tm.x","g","gs","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp","tm.y","avg_salary"
"4019","Sean Kilpatrick",2016,18114,250,"SG",26,"BRK",23,0,23.2,5,10.8,0.462,1.5,4.2,0.361,3.5,6.6,0.526,0.532,2.3,2.6,0.898,0.4,1.7,1.1,0.4,0.1,1.2,1.3,13.8,534,16.7,0.578,0.39,0.237,2.1,8.6,8.4,0.9,0.3,8.9,25.2,0.9,0,0.9,0.082,1.8,-4.5,-0.1,"BKN",4971
"4020","Sean Kilpatrick",2016,18114,250,"SG",26,"BRK",23,0,23.2,5,10.8,0.462,1.5,4.2,0.361,3.5,6.6,0.526,0.532,2.3,2.6,0.898,0.4,1.7,1.1,0.4,0.1,1.2,1.3,13.8,534,16.7,0.578,0.39,0.237,2.1,8.6,8.4,0.9,0.3,8.9,25.2,0.9,0,0.9,0.082,1.8,-4.5,-0.1,"DEN",4971
"4021","Sean Kilpatrick",2016,18114,250,"SG",26,"BRK",23,0,23.2,5,10.8,0.462,1.5,4.2,0.361,3.5,6.6,0.526,0.532,2.3,2.6,0.898,0.4,1.7,1.1,0.4,0.1,1.2,1.3,13.8,534,16.7,0.578,0.39,0.237,2.1,8.6,8.4,0.9,0.3,8.9,25.2,0.9,0,0.9,0.082,1.8,-4.5,-0.1,"BKN",4971
"4022","Sean Kilpatrick",2016,18114,250,"SG",26,"BRK",23,0,23.2,5,10.8,0.462,1.5,4.2,0.361,3.5,6.6,0.526,0.532,2.3,2.6,0.898,0.4,1.7,1.1,0.4,0.1,1.2,1.3,13.8,534,16.7,0.578,0.39,0.237,2.1,8.6,8.4,0.9,0.3,8.9,25.2,0.9,0,0.9,0.082,1.8,-4.5,-0.1,"BKN",750951
"4023","Sean Kilpatrick",2016,18113,250,"SG",26,"DEN",8,0,10.3,1,2.6,0.381,0.5,2.1,0.235,0.5,0.5,1,0.476,0.9,1,0.875,0.3,0.5,0.4,0.3,0,0.5,0.9,3.4,82,8,0.551,0.81,0.381,2.7,5.5,5.4,1.2,0,14,15.2,0,0,0.1,0.037,-0.9,-3.4,0,"DEN",4971
"4024","Sean Kilpatrick",2016,18113,250,"SG",26,"DEN",8,0,10.3,1,2.6,0.381,0.5,2.1,0.235,0.5,0.5,1,0.476,0.9,1,0.875,0.3,0.5,0.4,0.3,0,0.5,0.9,3.4,82,8,0.551,0.81,0.381,2.7,5.5,5.4,1.2,0,14,15.2,0,0,0.1,0.037,-0.9,-3.4,0,"BKN",4971
"4025","Sean Kilpatrick",2016,18113,250,"SG",26,"DEN",8,0,10.3,1,2.6,0.381,0.5,2.1,0.235,0.5,0.5,1,0.476,0.9,1,0.875,0.3,0.5,0.4,0.3,0,0.5,0.9,3.4,82,8,0.551,0.81,0.381,2.7,5.5,5.4,1.2,0,14,15.2,0,0,0.1,0.037,-0.9,-3.4,0,"DEN",4971
"4026","Sean Kilpatrick",2016,18113,250,"SG",26,"DEN",8,0,10.3,1,2.6,0.381,0.5,2.1,0.235,0.5,0.5,1,0.476,0.9,1,0.875,0.3,0.5,0.4,0.3,0,0.5,0.9,3.4,82,8,0.551,0.81,0.381,2.7,5.5,5.4,1.2,0,14,15.2,0,0,0.1,0.037,-0.9,-3.4,0,"BKN",4971
"4027","Sean Kilpatrick",2016,18113,250,"SG",26,"DEN",8,0,10.3,1,2.6,0.381,0.5,2.1,0.235,0.5,0.5,1,0.476,0.9,1,0.875,0.3,0.5,0.4,0.3,0,0.5,0.9,3.4,82,8,0.551,0.81,0.381,2.7,5.5,5.4,1.2,0,14,15.2,0,0,0.1,0.037,-0.9,-3.4,0,"BKN",750951
"4028","Sean Kilpatrick",2018,19323,274,"SG",28,"TOT",52,1,12.3,2.1,5.7,0.374,0.9,2.8,0.319,1.2,2.9,0.427,0.452,1.2,1.4,0.889,0.1,1.6,0.9,0.3,0.1,0.7,0.6,6.3,640,11.6,0.507,0.49,0.245,0.8,14.2,11.3,1,0.7,10.4,24.9,-0.2,0.3,0.1,0.008,-2.5,-3.6,-0.7,"BKN",750951
"4029","Sean Kilpatrick",2018,19327,274,"SG",28,"CHI",9,1,23.8,5.2,11.9,0.439,2.1,5.3,0.396,3.1,6.6,0.475,0.528,2.9,3.6,0.813,0.3,2.4,1.4,0.7,0.3,1.3,0.9,15.4,214,17.7,0.574,0.449,0.299,1.4,11.5,10.5,1.4,1.3,9,27.1,0.2,0.1,0.4,0.083,0.8,-3.1,0,"BKN",750951
"4030","Sean Kilpatrick",2018,19326,274,"SG",28,"LAC",4,0,9.5,1.8,4.5,0.389,0.8,1.8,0.429,1,2.8,0.364,0.472,0.5,0.5,1,0,0.5,0.8,0,0,0.3,0.5,4.8,38,10.5,0.503,0.389,0.111,0,5.7,12.1,0,0,5,22.6,0,0,0,0.029,-2,-5.9,-0.1,"BKN",750951
"4031","Sean Kilpatrick",2018,19325,274,"SG",28,"MIL",23,0,8.9,1.3,3.6,0.378,0.6,2,0.283,0.8,1.6,0.5,0.457,0.8,0.8,0.947,0,1,0.7,0.2,0,0.4,0.7,4,205,11.3,0.515,0.561,0.232,0.6,13.7,10.9,1.2,0.4,9.1,21.9,0,0.1,0.1,0.035,-2,-4.2,-0.2,"BKN",750951
"4032","Sean Kilpatrick",2018,19324,274,"SG",28,"BRK",16,0,11.4,1.6,5.4,0.287,0.7,2.7,0.256,0.9,2.8,0.318,0.351,1.1,1.2,0.947,0.1,2.1,0.9,0.1,0.1,1,0.5,4.9,183,4.9,0.414,0.494,0.218,0.6,19.9,12.6,0.5,0.4,14.4,26.3,-0.6,0.1,-0.4,-0.116,-7.1,-3.1,-0.4,"BKN",750951
"4033","Sean Williams",2012,15953,468,"C",25,"TOT",11,0,9.7,1.3,2,0.636,0,0,NA,1.3,2,0.636,0.636,1.1,1.2,0.923,1.2,1.1,0.5,0.4,0.7,0.9,1.6,3.6,107,18.7,0.722,0,0.591,14.1,12.6,7.4,2,5.9,26.5,16.5,0.2,0.2,0.4,0.199,0,3.7,0.2,"BOS",478035
"4034","Sean Williams",2012,15954,468,"C",25,"DAL",8,0,8.1,1.5,2,0.75,0,0,NA,1.5,2,0.75,0.75,0.6,0.8,0.833,1.1,0.5,0.3,0.1,0.6,0.9,1.8,3.6,65,18.8,0.778,0,0.375,15.7,6.9,5.5,0.8,6.1,27.3,18.3,0.2,0.1,0.2,0.182,1.1,1.7,0.1,"BOS",478035
"4035","Sean Williams",2012,15955,468,"C",25,"BOS",3,0,14,0.7,2,0.333,0,0,NA,0.7,2,0.333,0.333,2.3,2.3,1,1.3,2.7,1,1,1,1,1.3,3.7,42,18.6,0.606,0,1.167,11.8,21.4,10.4,3.8,5.5,24.8,13.8,0.1,0.1,0.2,0.226,-1.7,6.7,0.1,"BOS",478035
"4036","Sebastian Telfair",2012,15884,411,"PG",26,"PHO",60,1,14.9,2.4,5.7,0.412,0.6,1.8,0.314,1.8,4,0.456,0.461,0.9,1.1,0.791,0.3,1.2,2.3,0.7,0.2,1.1,2,6.1,895,13.2,0.495,0.307,0.196,2.5,8.9,24.5,2.4,1,15.5,22.3,0.4,0.7,1.1,0.058,0,-0.6,0.3,"PHX",1533750
"4037","Sebastian Telfair",2013,16471,406,"PG",27,"TOR",13,0,14.2,1.4,4.8,0.29,0.8,2.8,0.27,0.6,1.9,0.32,0.371,0.8,0.9,0.833,0.1,1.2,3,0.7,0.1,0.8,1.5,4.3,185,10.7,0.416,0.597,0.194,0.6,9.8,32.5,2.6,0.4,14.1,19.6,0,0.1,0.1,0.029,-1,-2.3,-0.1,"TOR",1533750
