"","fix","Player","Pos","G","Tm","Age","GS","MP.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","MP.y","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","last.name","average.salary"
"239","klaythompson","Klay Thompson\thompkl01","SG",77,"GSW",24,77,31.9,7.8,16.9,0.463,3.1,7.1,0.439,4.7,9.8,0.481,0.555,2.9,3.3,0.879,0.4,2.9,3.2,2.9,1.1,0.8,1.9,1.6,21.7,2455,20.8,0.591,0.42,0.197,1.2,9.4,5.4,14.6,1.7,1.8,9.5,27.6,5.7,3.1,8.8,0.172,3.6,-1,2.7,2.9,"Thompson",17244863
"240","kobebryant","Kobe Bryant\bryanko01","SG",35,"LAL",36,35,34.5,7.6,20.4,0.373,1.5,5.3,0.293,6.1,15.1,0.401,0.411,5.6,6.9,0.813,0.7,4.9,5.7,5.6,1.3,0.2,3.7,1.9,22.3,1207,17.6,0.477,0.258,0.338,2.3,16.5,9.1,29.9,2,0.5,13.5,34.9,-0.4,0.6,0.2,0.006,1.6,-1.3,0.3,0.7,"Bryant",24250000
"241","kostakoufos","Kosta Koufos\koufoko01","C",81,"MEM",25,3,16.6,2.2,4.4,0.508,0,0,0,2.2,4.4,0.508,0.508,0.7,1,0.647,1.5,3.8,5.3,0.5,0.4,0.8,0.9,1.8,5.2,1348,14.2,0.53,0,0.237,10.3,25.8,18.1,4.3,1.1,3.9,14.9,15.8,0.8,2.5,3.3,0.118,-3.4,1.9,-1.5,0.2,"Koufos",8219750
"242","krishumphries","Kris Humphries\humphkr01","PF",64,"WAS",29,17,21,3.3,7,0.473,0,0.1,0,3.3,6.9,0.481,0.473,1.4,1.8,0.744,1.8,4.7,6.5,0.9,0.5,0.4,0.7,2,8,1345,15.4,0.512,0.016,0.262,10.1,24.4,17.4,6.7,1.3,1.5,8.5,18.3,1.6,2.1,3.8,0.134,-2,0.7,-1.3,0.2,"Humphries",388025
"243","kyleanderson","Kyle Anderson\anderky01","SF",33,"SAS",21,8,10.8,0.9,2.7,0.348,0.1,0.3,0.273,0.8,2.4,0.359,0.365,0.3,0.4,0.643,0.2,2,2.2,0.8,0.5,0.2,0.3,0.8,2.2,358,8.2,0.389,0.124,0.157,1.6,20.8,11.4,10.9,2.1,1.5,9.5,13.4,-0.3,0.6,0.3,0.044,-5.2,2.4,-2.7,-0.1,"Anderson",1142880
"244","kylekorver","Kyle Korver\korveky01","SG",75,"ATL",33,75,32.2,3.9,8,0.487,2.9,6,0.492,0.9,2,0.47,0.671,1.4,1.6,0.898,0.2,3.9,4.1,2.6,0.7,0.6,1.4,1.9,12.1,2418,14.8,0.699,0.748,0.197,0.7,13.3,7.2,12.1,1.1,1.5,14.1,14.4,5,2.4,7.5,0.148,3.1,0.2,3.3,3.3,"Korver",6000000
"245","kylelowry","Kyle Lowry\lowryky01","PG",70,"TOR",28,70,34.5,6.1,14.9,0.412,1.9,5.6,0.338,4.3,9.3,0.457,0.476,3.6,4.5,0.808,0.8,3.9,4.7,6.8,1.6,0.2,2.5,3,17.8,2414,19.3,0.527,0.375,0.299,2.6,13.1,7.8,32.4,2.3,0.4,12.8,25.4,5.1,2,7.1,0.141,4.2,-0.6,3.6,3.4,"Lowry",12000000
"246","kyleoquinn","Kyle O'Quinn\oquinky01","PF",51,"ORL",24,17,16.2,2.3,4.7,0.492,0.2,0.8,0.279,2.1,3.9,0.538,0.517,0.9,1.1,0.772,0.9,3,3.9,1.2,0.6,0.8,1.1,2.2,5.8,824,14.8,0.55,0.178,0.236,6.2,21.4,13.6,11.3,1.9,3.8,17.1,17.7,0.5,1.1,1.6,0.091,-2.1,2,-0.2,0.4,"O'Quinn",4003125
"247","kylesingler","Kyle Singler\singlky01","SF",80,"TOT",26,58,21.8,2.2,5.6,0.386,1.2,3,0.398,1,2.6,0.371,0.493,0.5,0.7,0.769,0.4,2,2.4,1.1,0.6,0.3,0.7,1.9,6,1743,8.5,0.512,0.54,0.117,2,10.2,6,7.3,1.4,1,10.5,13.2,0.9,1.2,2,0.056,-1.3,-0.3,-1.6,0.2,"Singler",4750000
"248","kyrieirving","Kyrie Irving\irvinky01","PG",75,"CLE",22,75,36.4,7.7,16.5,0.468,2.1,5,0.415,5.6,11.4,0.491,0.532,4.2,4.9,0.863,0.7,2.4,3.2,5.2,1.5,0.3,2.5,1.9,21.7,2730,21.5,0.583,0.306,0.296,2.3,7.5,5,25,2.2,0.6,11.8,26.2,8.4,2,10.4,0.183,4.7,-1.4,3.3,3.7,"Irving",18868625
