fix,Tm,Pos,G,GS,MP,FG,FGA,FG.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS.G,PER,TS.,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,average salary
meyersleonard,POR,C,69,9,17.5,2.2,4.0,0.545,0.551,1.0,1.3,0.809,1.2,2.5,3.7,0.5,0.2,0.6,0.7,2.4,5.5,12.1,0.596,0.321,7.6,17.1,12.3,4.3,0.5,2.4,13.4,13.9,1.8,0.7,2.4,0.09699999999999999,-2.2,-0.5,-2.6,-0.2,2435620
rashardlewis,MIA,PF,55,9,14.4,1.9,4.5,0.414,0.516,0.5,0.8,0.622,0.3,1.9,2.2,0.5,0.4,0.3,0.6,1.2,5.2,11.1,0.53,0.18100000000000002,3.1,15.0,9.4,5.7,1.4,1.4,10.9,18.2,0.3,0.9,1.2,0.071,-1.5,-1.7,-3.2,-0.2,1375844
deandreliggins,OKC,SG,39,1,7.4,0.5,1.2,0.447,0.521,0.2,0.5,0.5,0.3,1.0,1.4,0.4,0.5,0.1,0.4,0.8,1.5,9.4,0.528,0.38299999999999995,5.5,14.7,10.5,7.2,3.2,0.8,20.3,10.8,0.1,0.5,0.6,0.092,-1.6,1.5,-0.1,0.1,5202
damianlillard,POR,PG,82,82,38.6,6.7,15.7,0.429,0.501,3.3,3.9,0.8440000000000001,0.5,2.6,3.1,6.5,0.9,0.2,3.0,2.1,19.0,16.4,0.546,0.249,1.5,8.0,4.7,28.8,1.2,0.5,14.5,24.2,5.1,0.7,5.8,0.08800000000000001,2.7,-2.4,0.3,1.9,3461292
jeremylin,HOU,PG,82,82,32.2,4.8,10.9,0.441,0.49,2.6,3.4,0.785,0.4,2.6,3.0,6.1,1.6,0.4,2.9,2.5,13.4,14.9,0.5379999999999999,0.307,1.4,9.1,5.3,29.4,2.5,0.8,18.8,20.8,3.0,2.5,5.4,0.099,0.4,-0.1,0.3,1.5,8374646
brooklopez,BRK,C,74,74,30.4,7.7,14.8,0.521,0.521,4.0,5.3,0.758,2.8,4.1,6.9,0.9,0.4,2.1,1.8,2.1,19.4,24.7,0.5670000000000001,0.358,10.8,16.1,13.4,6.4,0.8,5.2,9.4,28.6,6.4,2.6,9.0,0.191,1.4,0.0,1.4,1.9,15206485
robinlopez,NOH,C,82,82,26.0,4.7,8.8,0.534,0.534,2.0,2.5,0.778,2.8,2.9,5.6,0.8,0.4,1.6,1.3,2.0,11.3,18.9,0.573,0.28800000000000003,12.4,13.4,12.9,5.3,0.8,5.0,12.0,20.0,4.4,1.2,5.6,0.126,0.8,0.3,1.1,1.7,5119761
kylelowry,TOR,PG,68,52,29.7,3.7,9.2,0.401,0.48200000000000004,2.8,3.5,0.795,0.8,3.9,4.7,6.4,1.4,0.4,2.3,3.2,11.6,17.5,0.5429999999999999,0.384,3.2,15.9,9.5,34.6,2.5,1.0,17.7,20.3,3.5,2.1,5.6,0.133,3.0,0.7,3.7,2.9,5865000
johnlucasiii,TOR,PG,63,0,13.1,2.0,5.3,0.386,0.47200000000000003,0.3,0.4,0.72,0.1,0.9,1.0,1.7,0.4,0.0,0.4,0.8,5.3,12.8,0.483,0.075,1.1,8.3,4.7,21.5,1.5,0.1,7.0,20.8,0.7,0.3,1.1,0.061,0.4,-3.3,-2.9,-0.2,3200000
ianmahinmi,IND,C,80,2,16.5,1.9,4.1,0.45299999999999996,0.45299999999999996,1.3,2.1,0.608,1.4,2.5,3.9,0.3,0.5,0.8,1.2,2.5,5.0,10.6,0.49700000000000005,0.52,9.9,16.2,13.1,3.3,1.6,3.7,18.5,17.1,-0.4,2.6,2.3,0.083,-4.7,2.0,-2.7,-0.2,4000000
