"","Player","Rk.x","Pos","Age.x","Tm","G.x","GS","MP.x","FG.x","FGA.x","FG%.x","3P.x","3PA.x","3P%.x","2P","2PA","2P%","eFG%","FT.x","FTA.x","FT%.x","ORB.x","DRB","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","PS/G","Rk.y","Age.y","Yrs","G.y","MP.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS","FG%.y","3P%.y","FT%.y","MP_1","PTS_1","TRB_1","AST_1"
"89","Terry Rozier\roziete01",435,"PG",23,"BOS",80,16,25.9,4,10,0.395,1.9,5,0.381,2,5,0.41,0.491,1.4,1.9,0.772,0.8,3.9,4.7,2.9,1,0.2,1,1.5,11.3,59,21,3,193,3642,496,1317,216,608,174,225,127,666,400,132,31,146,215,1382,0.377,0.355,0.773,18.9,7.2,3.5,2.1
"90","Trey Lyles\lylestr01",308,"PF",22,"DEN",73,2,19.1,3.7,7.5,0.491,1.1,3,0.381,2.6,4.5,0.563,0.566,1.4,2,0.697,0.8,4,4.8,1.2,0.4,0.5,0.8,1.5,9.9,35,20,3,224,3931,620,1425,197,550,215,306,162,881,219,82,72,190,322,1652,0.435,0.358,0.703,17.5,7.4,3.9,1
"91","Tyus Jones\jonesty01",267,"PG",21,"MIN",82,11,17.9,1.8,4,0.457,0.5,1.6,0.349,1.3,2.4,0.528,0.526,0.9,1,0.877,0.2,1.4,1.6,2.8,1.2,0.1,0.7,1.3,5.1,31,19,3,179,2814,281,665,87,255,132,163,33,246,496,174,14,130,193,781,0.423,0.341,0.81,15.7,4.4,1.4,2.8
"92","Willie Cauley-Stein\caulewi01",91,"C",24,"SAC",73,58,28,5.3,10.6,0.502,0,0.2,0.25,5.3,10.4,0.506,0.504,2.1,3.4,0.619,1.8,5.2,7,2.4,1.1,0.9,1.5,2.5,12.8,8,22,3,214,4877,834,1593,3,16,335,523,350,1201,289,178,177,224,478,2006,0.524,0.188,0.641,22.8,9.4,5.6,1.4
"93","Willie Reed\reedwi02",425,"C",27,"TOT",42,5,10.2,1.9,2.9,0.669,0,0,0.5,1.9,2.8,0.672,0.674,0.8,1.3,0.582,0.8,2,2.9,0.2,0.2,0.5,0.5,1.3,4.6,57,25,3,152,1885,319,539,2,6,111,198,213,575,46,33,99,66,240,751,0.592,0.333,0.561,12.4,4.9,3.8,0.3
"94","Willie Reed\reedwi02",425,"C",27,"LAC",39,5,10.7,2.1,3.1,0.667,0,0.1,0.5,2,3,0.669,0.671,0.8,1.4,0.582,0.9,2.2,3.1,0.2,0.2,0.6,0.5,1.4,4.9,57,25,3,152,1885,319,539,2,6,111,198,213,575,46,33,99,66,240,751,0.592,0.333,0.561,12.4,4.9,3.8,0.3
"95","Alex Abrines\abrinal01",1,"SG",24,"OKC",75,8,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,1,23,2,143,2189,249,632,178,468,83,95,44,200,68,75,16,58,238,759,0.394,0.38,0.874,15.3,5.3,1.4,0.5
"96","Andrew Harrison\harrian01",202,"PG",23,"MEM",56,46,23.7,3.2,7.7,0.422,0.8,2.5,0.331,2.4,5.1,0.467,0.477,2.2,2.8,0.78,0.4,1.9,2.3,3.2,0.7,0.5,1.4,2.5,9.5,32,22,2,128,2800,298,789,90,298,272,353,46,267,375,91,47,166,332,958,0.378,0.302,0.771,21.9,7.5,2.1,2.9
"97","Brandon Ingram\ingrabr01",238,"SF",20,"LAL",59,59,33.5,6.1,12.9,0.47,0.7,1.8,0.39,5.4,11.1,0.483,0.497,3.3,4.8,0.681,1,4.4,5.3,3.9,0.8,0.7,2.5,2.8,16.1,37,19,2,138,4254,634,1447,96,292,325,496,117,630,396,95,79,265,321,1689,0.438,0.329,0.655,30.8,12.2,4.6,2.9
"98","Bryn Forbes\forbebr01",162,"SG",24,"SAS",80,12,19,2.6,6.2,0.421,1.1,2.9,0.39,1.5,3.4,0.446,0.51,0.6,0.9,0.667,0.2,1.2,1.4,1,0.4,0,0.5,1.4,6.9,25,23,2,116,1802,245,596,106,281,53,78,14,133,103,29,2,48,128,649,0.411,0.377,0.679,15.5,5.6,1.1,0.9
