"","player","i","pos","age","team","g","gs","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp","avg_salary","contract_year"
"1098","DeAndre Liggins",2014,"SG",25,"MIA",1,0,1,1,1,1,0,0,NA,1,1,1,1,0,0,NA,1,0,0,0,0,0,0,2,1,129.1,1,0,0,100,0,0,0,0,0,47.8,0,0,0,2.123,47.8,-23.1,0,5202,0
"1099","DeAndre Liggins",2017,"SG",28,"TOT",62,19,12.5,0.9,2.3,0.387,0.3,0.7,0.37,0.6,1.5,0.396,0.447,0.4,0.6,0.625,0.3,1.4,0.9,0.8,0.2,0.7,1.3,2.5,777,7.5,0.476,0.324,0.282,2.9,12.2,9.2,3,1.5,20.8,11.6,-0.4,0.9,0.5,0.031,-3.9,1.8,0,1296463,0
"1100","DeAndre Liggins",2017,"SG",28,"CLE",61,19,12.3,0.9,2.2,0.382,0.3,0.7,0.378,0.6,1.5,0.385,0.445,0.4,0.6,0.622,0.3,1.4,0.9,0.7,0.2,0.7,1.3,2.4,752,7.2,0.473,0.331,0.272,2.6,11.9,9.5,3,1.5,21.6,11.5,-0.5,0.9,0.4,0.025,-4,2,0,1296463,0
"1101","DeAndre Liggins",2017,"SG",28,"DAL",1,0,25,3,6,0.5,0,1,0,3,5,0.6,0.5,2,3,0.667,3,4,0,2,0,0,3,8,25,17.6,0.546,0.167,0.5,13.3,19.5,0,4.2,0,0,13.8,0.1,0,0.1,0.194,-1.9,-2,0,1296463,0
"1102","DeAndre' Bembry",2017,"SF",22,"ATL",38,1,9.8,1.2,2.6,0.48,0,0.5,0.056,1.2,2.1,0.575,0.485,0.2,0.4,0.375,0.4,1.2,0.7,0.2,0.1,0.4,0.6,2.7,371,8.8,0.481,0.184,0.163,4.2,13.1,11.5,1.1,1.2,13.2,14.2,-0.1,0.4,0.3,0.038,-4.4,0.1,-0.2,1533480,0
"1103","DeAndre' Bembry",2018,"SF",23,"ATL",26,3,17.5,2,4.9,0.414,0.4,1.2,0.367,1.6,3.8,0.429,0.457,0.7,1.3,0.576,0.3,2.5,1.9,0.8,0.5,1.8,1.5,5.2,455,7.6,0.477,0.234,0.258,2,15.7,15.9,2.3,2.3,24.8,18.2,-0.9,0.5,-0.4,-0.04,-5.9,1.5,-0.3,1533480,0
"1104","Dejounte Murray",2017,"PG",20,"SAS",38,8,8.5,1.3,3.1,0.431,0.2,0.6,0.391,1.1,2.4,0.441,0.47,0.6,0.8,0.7,0.2,0.9,1.3,0.2,0.2,1,0.8,3.4,322,9.6,0.503,0.198,0.259,2.2,12.4,22.6,1.3,1.5,22.7,23.5,-0.4,0.5,0,0.004,-4.6,-0.2,-0.2,1206660,0
"1105","Dejounte Murray",2018,"PG",21,"SAS",81,48,21.5,3.3,7.5,0.443,0.1,0.4,0.265,3.2,7.1,0.454,0.451,1.3,1.8,0.709,1.4,4.3,2.9,1.2,0.4,1.7,1.9,8.1,1743,15.1,0.485,0.056,0.243,7,22.4,20.2,2.8,1.5,16.6,20.7,-0.2,3.4,3.2,0.087,-2.2,3.4,1.4,1206660,0
"1106","DeJuan Blair",2012,"PF",22,"SAS",64,62,21.3,4.2,7.9,0.534,0,0,0,4.2,7.9,0.535,0.534,1.1,1.9,0.613,2.4,3.1,1.2,0.9,0.2,1.4,2.6,9.5,1363,17.6,0.549,0.002,0.236,13.2,16.3,9.2,2.2,0.6,14.2,21.7,2.2,1.8,4,0.142,0.8,0.8,1.2,853897,0
"1107","DeJuan Blair",2013,"PF",23,"SAS",61,16,14,2.3,4.4,0.524,0,0,0,2.3,4.4,0.526,0.524,0.7,1.1,0.629,1.1,2.7,0.7,0.6,0.2,0.8,1.8,5.4,851,14.6,0.543,0.004,0.258,9.5,21.1,8.3,2.2,0.9,14,19,0.7,1.5,2.2,0.126,-2,1.3,0.3,853897,0
"1108","DeJuan Blair",2014,"PF",24,"DAL",78,13,15.6,2.7,5,0.534,0,0,0,2.7,5,0.537,0.534,1,1.6,0.636,1.8,2.9,0.9,0.8,0.3,1,2.5,6.4,1214,17.3,0.557,0.005,0.308,13.3,21.6,8.9,2.5,1.4,14.7,19.6,1.8,1.5,3.4,0.133,-0.2,0.8,0.8,947907,0
"1109","DeJuan Blair",2015,"PF",25,"WAS",29,0,6.2,0.9,2,0.456,0,0,NA,0.9,2,0.456,0.456,0.1,0.2,0.667,0.6,1.4,0.1,0.2,0,0.4,1.4,1.9,180,7.7,0.469,0,0.105,10.3,24.5,2.6,2,0.4,17.9,18.3,-0.2,0.3,0.1,0.033,-6.4,-1,-0.2,2000000,0
"1110","Delon Wright",2016,"PG",23,"TOR",27,1,8.5,1.3,3,0.45,0.2,0.5,0.385,1.1,2.5,0.463,0.481,1,1.3,0.743,0.3,1.1,1.1,0.3,0.1,0.6,0.3,3.8,229,17.8,0.54,0.163,0.438,4.1,14.3,22.5,1.8,1.1,14.4,22.1,0.3,0.2,0.6,0.124,-0.1,-0.6,0.1,1577280,0
"1111","Delon Wright",2017,"PG",24,"TOR",27,0,16.5,1.8,4.3,0.422,0.4,1.1,0.333,1.4,3.2,0.453,0.466,1.6,2,0.764,0.6,1.2,2.1,1,0.4,0.9,1.1,5.6,446,15,0.535,0.259,0.474,4.1,8.1,18.2,3.1,2.1,15.1,16.6,0.5,0.6,1.1,0.117,-0.1,1.2,0.4,1577280,0
"1112","Delon Wright",2018,"PG",25,"TOR",69,4,20.8,2.9,6.3,0.465,0.8,2.2,0.366,2.1,4,0.52,0.53,1.4,1.7,0.829,0.7,2.2,2.9,1,0.5,1.1,1.2,8,1433,16.5,0.574,0.354,0.271,3.6,11.7,19.6,2.5,1.8,13.9,17.2,2.5,2.1,4.5,0.152,1.2,1.6,1.7,1577280,0
"1113","Delonte West",2012,"PG",28,"DAL",44,33,24.1,3.8,8.2,0.461,0.6,1.7,0.355,3.2,6.5,0.489,0.499,1.4,1.6,0.886,0.3,2,3.2,1.3,0.3,1.7,1.5,9.6,1060,15.3,0.539,0.211,0.194,1.4,9.3,22.2,2.9,0.8,16.3,20.4,0.8,1.4,2.2,0.098,-0.3,0.7,0.7,1146337,0
"1114","DeMar DeRozan",2012,"SG",22,"TOR",63,63,35,6,14.3,0.422,0.4,1.5,0.261,5.7,12.9,0.44,0.435,4.3,5.3,0.81,0.6,2.7,2,0.8,0.3,2,2.6,16.7,2206,12.8,0.503,0.102,0.367,2.1,9,10.8,1.2,0.6,10.5,25,1.1,1.4,2.5,0.054,-1.4,-1.5,-0.5,2676443,0
"1115","DeMar DeRozan",2013,"SG",23,"TOR",82,82,36.7,6.7,15,0.445,0.4,1.5,0.283,6.3,13.5,0.463,0.459,4.3,5.2,0.831,0.6,3.3,2.5,0.9,0.3,1.8,2.1,18.1,3013,14.7,0.523,0.097,0.347,1.9,10.9,12,1.3,0.6,9.6,24.2,3.1,1.6,4.7,0.075,-0.5,-1.4,0,2676443,0
"1116","DeMar DeRozan",2014,"SG",24,"TOR",79,79,38.2,7.6,17.8,0.429,0.8,2.7,0.305,6.8,15.2,0.451,0.452,6.6,8,0.824,0.6,3.7,4,1.1,0.4,2.2,2.5,22.7,3017,18.4,0.532,0.149,0.448,2,11.3,18.9,1.5,0.7,9.5,28,5.8,3,8.8,0.141,1.4,-0.7,2,9500000,0
