"","fix","X1","Player","Rk.x","Pos","Age.x","Tm","G.x","GS","MP.x","FG.x","FGA.x","FG%.x","3P.x","3PA.x","3P%.x","2P","2PA","2P%","eFG%","FT.x","FTA.x","FT%.x","ORB.x","DRB","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","PS/G","Rk.y","Age.y","Yrs","G.y","MP.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS","FG%.y","3P%.y","FT%.y","MP_1","PTS_1","TRB_1","AST_1","average salary"
"156","thonmaker",134,"Thon Maker\makerth01",312,"C",20,"MIL",74,12,16.7,1.8,4.3,0.411,0.4,1.4,0.298,1.3,2.9,0.467,0.46,0.9,1.3,0.699,1,2,3,0.6,0.5,0.7,0.6,2.2,4.8,51,19,2,131,1800,213,497,59,178,97,142,115,339,69,48,79,61,246,582,0.429,0.331,0.683,13.7,4.4,2.6,0.5,2626380
"157","timfrazier",46,"Tim Frazier\fraziti01",165,"PG",27,"WAS",59,11,14.2,1.2,2.9,0.395,0.3,0.9,0.304,0.9,2,0.44,0.445,0.4,0.5,0.767,0.3,1.6,1.9,3.3,0.8,0.1,1,1.6,3,26,24,4,186,3343,348,866,78,249,184,254,84,426,751,144,15,248,329,958,0.402,0.313,0.724,18,5.2,2.3,4,2045000
"158","timotheluwawucabarrot",135,"Timothe Luwawu-Cabarrot\luwawti01",306,"SF",22,"PHI",52,7,15.5,1.9,5.1,0.375,1,3,0.335,0.9,2.1,0.431,0.474,0.9,1.1,0.793,0.3,1.1,1.4,1,0.2,0.1,0.7,1.9,5.8,49,21,2,121,1997,245,628,103,319,151,181,39,221,129,44,15,111,251,744,0.39,0.323,0.834,16.5,6.1,1.8,1.1,1356780
"159","tomassatoransky",136,"Tomas Satoransky\satorto01",441,"SG",26,"WAS",73,30,22.5,2.8,5.3,0.523,0.6,1.4,0.465,2.1,3.9,0.544,0.585,1,1.3,0.781,1,2.2,3.2,3.9,0.7,0.2,1.1,1.8,7.2,71,25,2,130,2362,262,531,56,138,98,129,97,316,378,78,21,121,191,678,0.493,0.406,0.76,18.2,5.2,2.4,2.9,3000000
"160","treveongraham",137,"Treveon Graham\grahatr01",182,"SG",24,"CHO",63,2,16.7,1.5,3.5,0.434,0.6,1.5,0.412,0.9,2,0.452,0.525,0.7,0.9,0.695,0.7,1.3,1.9,0.9,0.5,0,0.4,1.7,4.3,30,23,2,90,1239,115,261,49,112,51,74,47,143,65,39,3,30,127,330,0.441,0.438,0.689,13.8,3.7,1.6,0.7,543471
"161","treylyles",90,"Trey Lyles\lylestr01",308,"PF",22,"DEN",73,2,19.1,3.7,7.5,0.491,1.1,3,0.381,2.6,4.5,0.563,0.566,1.4,2,0.697,0.8,4,4.8,1.2,0.4,0.5,0.8,1.5,9.9,35,20,3,224,3931,620,1425,197,550,215,306,162,881,219,82,72,190,322,1652,0.435,0.358,0.703,17.5,7.4,3.9,1,2596512
"162","tylercavanaugh",194,"Tyler Cavanaugh\cavanty01",92,"PF",23,"ATL",39,1,13.3,1.7,3.9,0.441,0.8,2.3,0.36,0.9,1.6,0.556,0.546,0.4,0.5,0.81,1.2,2.1,3.3,0.7,0.2,0.1,0.4,1.6,4.7,21,23,1,39,518,67,152,32,89,17,21,45,127,27,9,4,14,61,183,0.441,0.36,0.81,13.3,4.7,3.3,0.7,815615
"163","tylerdorsey",195,"Tyler Dorsey\dorsety01",134,"SG",21,"ATL",56,5,17.4,2.6,6.8,0.377,1.3,3.6,0.362,1.3,3.3,0.393,0.471,0.8,1.1,0.714,0.3,2,2.3,1.4,0.3,0.1,0.7,1.1,7.2,30,21,1,56,974,144,382,72,199,45,63,17,130,79,17,5,37,63,405,0.377,0.362,0.714,17.4,7.2,2.3,1.4,1096929
"164","tylerennis",47,"Tyler Ennis\ennisty01",149,"PG",23,"LAL",54,11,12.6,1.7,4.1,0.42,0.3,1,0.25,1.5,3.1,0.476,0.451,0.4,0.5,0.759,0.4,1.4,1.8,1.9,0.6,0.2,0.7,1.4,4.1,24,20,4,186,2336,320,763,66,208,73,95,48,250,359,98,18,171,233,779,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1590199
"166","tylerulis",138,"Tyler Ulis\ulisty01",488,"PG",22,"PHO",71,43,23.4,3,7.8,0.388,0.6,2.1,0.288,2.4,5.7,0.425,0.426,1.2,1.4,0.832,0.3,1.5,1.8,4.4,1,0.1,1.8,1.7,7.8,77,21,2,132,2781,398,988,63,225,139,172,44,223,537,118,12,204,193,998,0.403,0.28,0.808,21.1,7.6,1.7,4.1,1000000
